81, 0, 0, Bask, Pyr, GABA
82, 0, 0, Bask, Pyr, GABA
83, 0, 0, Bask, Pyr, GABA
84, 0, 0, Bask, Pyr, GABA
85, 0, 0, Bask, Pyr, GABA
86, 0, 0, Bask, Pyr, GABA
87, 0, 0, Bask, Pyr, GABA
88, 0, 0, Bask, Pyr, GABA
89, 0, 0, Bask, Pyr, GABA
90, 0, 0, Bask, Pyr, GABA
91, 0, 0, Bask, Pyr, GABA
92, 0, 0, Bask, Pyr, GABA
93, 0, 0, Bask, Pyr, GABA
94, 0, 0, Bask, Pyr, GABA
95, 0, 0, Bask, Pyr, GABA
96, 0, 0, Bask, Pyr, GABA
97, 0, 0, Bask, Pyr, GABA
98, 0, 0, Bask, Pyr, GABA
99, 0, 0, Bask, Pyr, GABA
100, 0, 0, Bask, Pyr, GABA
81, 1, 0, Bask, Pyr, GABA
82, 1, 0, Bask, Pyr, GABA
83, 1, 0, Bask, Pyr, GABA
84, 1, 0, Bask, Pyr, GABA
85, 1, 0, Bask, Pyr, GABA
86, 1, 0, Bask, Pyr, GABA
87, 1, 0, Bask, Pyr, GABA
88, 1, 0, Bask, Pyr, GABA
89, 1, 0, Bask, Pyr, GABA
90, 1, 0, Bask, Pyr, GABA
91, 1, 0, Bask, Pyr, GABA
92, 1, 0, Bask, Pyr, GABA
93, 1, 0, Bask, Pyr, GABA
94, 1, 0, Bask, Pyr, GABA
95, 1, 0, Bask, Pyr, GABA
96, 1, 0, Bask, Pyr, GABA
97, 1, 0, Bask, Pyr, GABA
98, 1, 0, Bask, Pyr, GABA
99, 1, 0, Bask, Pyr, GABA
100, 1, 0, Bask, Pyr, GABA
81, 2, 0, Bask, Pyr, GABA
82, 2, 0, Bask, Pyr, GABA
83, 2, 0, Bask, Pyr, GABA
84, 2, 0, Bask, Pyr, GABA
85, 2, 0, Bask, Pyr, GABA
86, 2, 0, Bask, Pyr, GABA
87, 2, 0, Bask, Pyr, GABA
88, 2, 0, Bask, Pyr, GABA
89, 2, 0, Bask, Pyr, GABA
90, 2, 0, Bask, Pyr, GABA
91, 2, 0, Bask, Pyr, GABA
92, 2, 0, Bask, Pyr, GABA
93, 2, 0, Bask, Pyr, GABA
94, 2, 0, Bask, Pyr, GABA
95, 2, 0, Bask, Pyr, GABA
96, 2, 0, Bask, Pyr, GABA
97, 2, 0, Bask, Pyr, GABA
98, 2, 0, Bask, Pyr, GABA
99, 2, 0, Bask, Pyr, GABA
100, 2, 0, Bask, Pyr, GABA
81, 3, 0, Bask, Pyr, GABA
82, 3, 0, Bask, Pyr, GABA
83, 3, 0, Bask, Pyr, GABA
84, 3, 0, Bask, Pyr, GABA
85, 3, 0, Bask, Pyr, GABA
86, 3, 0, Bask, Pyr, GABA
87, 3, 0, Bask, Pyr, GABA
88, 3, 0, Bask, Pyr, GABA
89, 3, 0, Bask, Pyr, GABA
90, 3, 0, Bask, Pyr, GABA
